"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
vo2_test_date,exercise_capacity_test_vo2peak,,text,"Date Participant Performed VO2 Peak Testing",,,date_dmy,,,,,y,,,,,
vo2_test_time,exercise_capacity_test_vo2peak,,text,"Time Participant Performed VO2 Peak Testing",,,time,,,,,y,,,,,
vo2_disinfect1,exercise_capacity_test_vo2peak,"VO2 PEAK TEST SETUP",yesno,"1. Was All Equipment Disinfected/Sanitized Prior To Use (Stationary Bike, Stadiometer, Heart Rate Monitor and Strap, Face Mask and Head Strap)?",,,,,,,,y,,,,,
vo2_cylinder_calibration,exercise_capacity_test_vo2peak,,yesno,"2. Was Ergo Gas Cylinder Calibrated?",,,,,,,,y,,,,,
vo2_height_and_weight,exercise_capacity_test_vo2peak,,yesno,"3. Did Participant Have Height And Weight Taken Using Stadiometer?",,,,,,,,,,,,,
vo2_height,exercise_capacity_test_vo2peak,,text,"4. Participant Height (in cm.)",,,,,,,,y,,,,,
vo2_weight,exercise_capacity_test_vo2peak,,text,"5. Participant Weight (in kg)",,,,,,,,y,,,,,
vo2_age,exercise_capacity_test_vo2peak,,text,"6. Participant Age?",,,number,60,100,,,y,,,,,
vo2_predicted_hrmax,exercise_capacity_test_vo2peak,,calc,"7. Paticipant Age Predicted HRmax (in bpm)",207-(0.7*([vo2_age])),,,,,,,y,,,,,"Equation: 207-(0.7*Age(yrs))"
vo2_hr_sync,exercise_capacity_test_vo2peak,,yesno,"8. Was Heart Rate Monitor Successfully Synced With Heart Rate App On IPAD?",,,,,,,,y,,,,,
vo2_hr_monitor,exercise_capacity_test_vo2peak,,yesno,"8a. Was Participant Fitted With Heart Rate Monitor?",,,,,,,"[vo2_hr_sync] = '1'",y,,,,,
vo2_face_mask_and_strap,exercise_capacity_test_vo2peak,,yesno,"9. Was Participant Fitted With Appropriate Face Mask and Head Strap?",,,,,,,,y,,,,,
vo2_seat_height,exercise_capacity_test_vo2peak,,text,"10. What Was Participant Seat Height Setting?",,,,,,,,y,,,,,
vo2_resting_hr,exercise_capacity_test_vo2peak,"RESTING PHASE (2 minutes total)",text,"12. HR (bpm)",,,,,,,,y,,,,,"Take Value When Time Remaining Is 1:45"
vo2_resting_rpm,exercise_capacity_test_vo2peak,,text,"13. RPM (50 - 70)",,,number,,,,,y,,,,,"RPM = 50-70"
vo2_resting_vo2,exercise_capacity_test_vo2peak,,text,"14. VO2 (mL/kg/min)",,,,,,,,y,,,,,"Take Value When Time Remaining Is 1:45"
vo2_resting_watt,exercise_capacity_test_vo2peak,,text,"15. Watt",,,number,,,,,y,,,,,
vo2_resting_rq,exercise_capacity_test_vo2peak,,text,"16. RQ",,,,,,,,y,,,,,"Take Value When Time Remaining Is 1:45"
vo2_resting_rpe,exercise_capacity_test_vo2peak,,text,"17. RPE (6-20)",,,,,,,,y,,,,,"Take Value When Time Remaining Is 1:45"
vo2_resting_complete,exercise_capacity_test_vo2peak,,yesno,"18. Was This Phase Completed?",,,,,,,,y,,,,,
vo2_warm_up_hr,exercise_capacity_test_vo2peak,"WARM-UP PHASE (5 minutes total)",text,"19. HR (bpm)",,,,,,,"[vo2_resting_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 6:45"
vo2_warm_up_rpm,exercise_capacity_test_vo2peak,,text,"20. RPM (50-70)",,,,,,,"[vo2_resting_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 6:45"
vo2_warm_up_vo2,exercise_capacity_test_vo2peak,,text,"21. VO2 (mL/kg/min)",,,,,,,"[vo2_resting_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 6:45"
vo2_warm_up_watt,exercise_capacity_test_vo2peak,,text,"22. Watt",,,number,,,,"[vo2_resting_complete] = '1'",y,,,,,
vo2_warm_up_rq,exercise_capacity_test_vo2peak,,text,"23. RQ",,,,,,,"[vo2_resting_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 6:45"
vo2_warm_up_rpe,exercise_capacity_test_vo2peak,,text,"24. RPE (6-20)",,,,,,,"[vo2_resting_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 6:45"
vo2_warm_up_complete,exercise_capacity_test_vo2peak,,yesno,"25. Was This Phase Completed?",,,,,,,"[vo2_resting_complete] = '1'",y,,,,,
vo2_1_hr,exercise_capacity_test_vo2peak,"EXERCISE PHASE 1 (3 minutes total)",text,"23. HR (bpm)",,,,,,,"[vo2_warm_up_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 9:45"
vo2_1_rpm,exercise_capacity_test_vo2peak,,text,"24. RPM (50-70)",,,,,,,"[vo2_warm_up_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 9:45"
vo2_1_vo2,exercise_capacity_test_vo2peak,,text,"25. VO2 (mL/kg/min)",,,,,,,"[vo2_warm_up_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 9:45"
vo2_1_watt,exercise_capacity_test_vo2peak,,text,"26. Watt",,,number,,,,"[vo2_warm_up_complete] = '1'",y,,,,,
vo2_1_rq,exercise_capacity_test_vo2peak,,text,"27. RQ",,,,,,,"[vo2_warm_up_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 9:45"
vo2_1_rpe,exercise_capacity_test_vo2peak,,text,"28. RPE (6-20)",,,,,,,"[vo2_warm_up_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 9:45"
vo2_1_complete,exercise_capacity_test_vo2peak,,yesno,"29. Was This Phase Completed?",,,,,,,"[vo2_warm_up_complete] = '1'",y,,,,,
vo2_2_hr,exercise_capacity_test_vo2peak,"EXERCISE PHASE 2 (3 minutes total)",text,"30. HR (bpm)",,,,,,,"[vo2_1_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 12:45"
vo2_2_rpm,exercise_capacity_test_vo2peak,,text,"31. RPM (50-70)",,,,,,,"[vo2_1_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 12:45"
vo2_2_vo2,exercise_capacity_test_vo2peak,,text,"32. VO2 (mL/kg/min)",,,,,,,"[vo2_1_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 12:45"
vo2_2_watt_2,exercise_capacity_test_vo2peak,,text,"33. Watt",,,number,,,,"[vo2_1_complete] = '1'",y,,,,,
vo2_2_rq,exercise_capacity_test_vo2peak,,text,"34. RQ",,,,,,,"[vo2_1_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 12:45"
vo2_2_rpe,exercise_capacity_test_vo2peak,,text,"35. RPE (6-20)",,,,,,,"[vo2_1_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 12:45"
vo2_2_complete,exercise_capacity_test_vo2peak,,yesno,"36. Was This Phase Completed?",,,,,,,"[vo2_1_complete] = '1'",y,,,,,
vo2_3_hr,exercise_capacity_test_vo2peak,"EXERCISE PHASE 3 (3 minutes total)",text,"37. HR (bpm)",,,,,,,"[vo2_2_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 15:45"
vo2_3_rpm,exercise_capacity_test_vo2peak,,text,"38. RPM (50-70)",,,,,,,"[vo2_2_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 15:45"
vo2_3_vo2,exercise_capacity_test_vo2peak,,text,"39. VO2 (mL/kg/min)",,,,,,,"[vo2_2_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 15:45"
vo2_3_watt,exercise_capacity_test_vo2peak,,text,"40. Watt",,,number,,,,"[vo2_2_complete] = '1'",y,,,,,
vo2_3_rq,exercise_capacity_test_vo2peak,,text,"41. RQ",,,,,,,"[vo2_2_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 15:45"
vo2_3_rpe,exercise_capacity_test_vo2peak,,text,"42. RPE (6-20)",,,,,,,"[vo2_2_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 15:45"
vo2_3_complete,exercise_capacity_test_vo2peak,,yesno,"43. Was This Phase Completed?",,,,,,,"[vo2_2_complete] = '1'",y,,,,,
vo2_4_hr,exercise_capacity_test_vo2peak,"EXERCISE PHASE 4 (3 minutes total)",text,"44. HR (bpm)",,,,,,,"[vo2_3_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 18:45"
vo2_4_rpm,exercise_capacity_test_vo2peak,,text,"45. RPM (50-70)",,,,,,,"[vo2_3_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 18:45"
vo2v_4_vo2,exercise_capacity_test_vo2peak,,text,"46. VO2 (mL/kg/min)",,,,,,,"[vo2_3_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 18:45"
vo2_4_watt,exercise_capacity_test_vo2peak,,text,"47. Watt",,,number,,,,"[vo2_3_complete] = '1'",y,,,,,
vo2_4_rq,exercise_capacity_test_vo2peak,,text,"48. RQ",,,,,,,"[vo2_3_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 18:45"
vo2_4_rpe,exercise_capacity_test_vo2peak,,text,"49. RPE (6-20)",,,,,,,"[vo2_3_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 18:45"
vo2_4_complete,exercise_capacity_test_vo2peak,,yesno,"50. Was This Phase Completed?",,,,,,,"[vo2_3_complete] = '1'",y,,,,,
vo2_5_hr,exercise_capacity_test_vo2peak,"EXERCISE PHASE 5 (3 minutes total)",text,"51. HR (bpm)",,,,,,,"[vo2_4_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_5_rpm,exercise_capacity_test_vo2peak,,text,"52. RPM (50-70)",,,,,,,"[vo2_4_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_5_vo2,exercise_capacity_test_vo2peak,,text,"53. VO2 (mL/kg/min)",,,,,,,"[vo2_4_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_5_watt,exercise_capacity_test_vo2peak,,text,"54. Watt",,,number,,,,"[vo2_4_complete] = '1'",y,,,,,
vo2_5_rq,exercise_capacity_test_vo2peak,,text,"55. RQ",,,,,,,"[vo2_4_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_5_rpe,exercise_capacity_test_vo2peak,,text,"56. RPE (6-20)",,,,,,,"[vo2_4_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_5_complete,exercise_capacity_test_vo2peak,,yesno,"57. Was This Phase Completed?",,,,,,,"[vo2_4_complete] = '1'",y,,,,,
vo2_6_hr,exercise_capacity_test_vo2peak,"EXERCISE PHASE 6 (3 minutes total)<br><br>",text,"58. HR (bpm)",,,,,,,"[vo2_5_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_6_rpm,exercise_capacity_test_vo2peak,,text,"59. RPM (50-70)",,,,,,,"[vo2_5_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_6_vo2,exercise_capacity_test_vo2peak,,text,"60. VO2 (mL/kg/min)",,,,,,,"[vo2_5_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_6_watt,exercise_capacity_test_vo2peak,,text,"61. Watt",,,number,,,,"[vo2_5_complete] = '1'",y,,,,,
vo2_6_rq,exercise_capacity_test_vo2peak,,text,"62. RQ",,,,,,,"[vo2_5_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_6_rpe,exercise_capacity_test_vo2peak,,text,"63. RPE (6-20)",,,,,,,"[vo2_5_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_6_complete,exercise_capacity_test_vo2peak,,yesno,"64. Was This Phase Completed?",,,,,,,"[vo2_5_complete] = '1'",y,,,,,
vo2_7_hr,exercise_capacity_test_vo2peak,"EXERCISE PHASE 7 (3 minutes total)

",text,"65. HR (bpm)",,,,,,,"[vo2_6_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 24:45"
vo2_7_rpm,exercise_capacity_test_vo2peak,,text,"66. RPM (50-70)",,,,,,,"[vo2_6_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 24:45"
vo2_7_vo2,exercise_capacity_test_vo2peak,,text,"67. VO2 (mL/kg/min)",,,,,,,"[vo2_6_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_7_watt,exercise_capacity_test_vo2peak,,text,"68. Watt",,,number,,,,"[vo2_6_complete] = '1'",y,,,,,
vo2_7_rq,exercise_capacity_test_vo2peak,,text,"69. RQ",,,,,,,"[vo2_6_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_7_rpe,exercise_capacity_test_vo2peak,,text,"70. RPE (6-20)",,,,,,,"[vo2_6_complete] = '1'",y,,,,,"Take Value When Time Remaining Is 21:45"
vo2_7_complete,exercise_capacity_test_vo2peak,,yesno,"71. Was This Phase Completed?",,,,,,,"[vo2_6_complete] = '1'",y,,,,,
vo2_recovery_min1_hr,exercise_capacity_test_vo2peak,"RECOVERY PHASE (3 minutes total)",text,"72. Minute 1 Heart Rate (bpm)",,,,,,,,y,,,,,
vo2_recovery_min1_rpm,exercise_capacity_test_vo2peak,,text,"73. Minute 1 RPM (50-70)",,,,,,,,y,,,,,
vo2_recovery_min2_hr,exercise_capacity_test_vo2peak,,text,"74. Minute 2 Heart Rate (bpm)",,,,,,,,y,,,,,
vo2_recovery_min2_rpm,exercise_capacity_test_vo2peak,,text,"75. Minute 2 RPM (50-70)",,,,,,,,y,,,,,
vo2_recovery_min3_hr,exercise_capacity_test_vo2peak,,text,"76. Minute 3 Heart Rate (bpm)",,,,,,,,y,,,,,
vo2_recovery_min3_rpm,exercise_capacity_test_vo2peak,,text,"77. Minute 3 RPM (50-70)",,,,,,,,y,,,,,
vo2_recovery_complete,exercise_capacity_test_vo2peak,,yesno,"78. Was This Phase Completed?",,,,,,,,y,,,,,
vo2_peak_hr,exercise_capacity_test_vo2peak,"SUMMARY DATA",text,"79. Peak Heart Rate (bpm)",,,,,,,,y,,,,,
vo2_peak_watts,exercise_capacity_test_vo2peak,,text,"80. Peak Watt",,,,,,,,y,,,,,
vo2_peak_vo2,exercise_capacity_test_vo2peak,,text,"81. Peak VO2 (mL/kg/min)",,,,,,,,y,,,,,
vo2_percent_peak_hr,exercise_capacity_test_vo2peak,,calc,"82. 70% Peak HR (bpm)",([vo2_peak_hr]*0.7),,,,,,,y,,,,,"Equation: 0.7*Peak HR"
vo2_classification,exercise_capacity_test_vo2peak,,text,"83. Classification",,,,,,,,,,,,,
vo2_disinfect2,exercise_capacity_test_vo2peak,,yesno,"84. Was All Equipment Disinfected/Sanitized After Use (Stationary Bike, Stadiometer, Heart Rate Monitor and Strap, Face Mask and Head Strap)?",,,,,,,,y,,,,,
vo2_notes,exercise_capacity_test_vo2peak,,notes,,,,,,,,,,,,,,
im_temp_measure_date,intramuscular_im_temperature_measure,,text,"Date Intramuscular Temperature Measurement Performed?",,,date_dmy,,,,,y,,,,,
im_temp_measure_time,intramuscular_im_temperature_measure,,text,"Time Intramuscular Temperature Measurement Performed?",,,time,,,,,y,,,,,
im_temp_leg,intramuscular_im_temperature_measure,"TIME 0 (mins) ",dropdown,"IM Probe Leg","1, Right | 2, Left",,,,,,,,,,,,
im_temp_heat_pad,intramuscular_im_temperature_measure,,text,"1. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
imt_im,intramuscular_im_temperature_measure,,text,"2. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin,intramuscular_im_temperature_measure,,text,"3. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite,intramuscular_im_temperature_measure,,text,"4. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp,intramuscular_im_temperature_measure,,text,"5. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead,intramuscular_im_temperature_measure,,text,"6. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_2,intramuscular_im_temperature_measure,"TIME 5 (mins) ",text,"7. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_2,intramuscular_im_temperature_measure,,text,"8. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_2,intramuscular_im_temperature_measure,,text,"9. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_2,intramuscular_im_temperature_measure,,text,"10. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_2,intramuscular_im_temperature_measure,,text,"11. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_2,intramuscular_im_temperature_measure,,text,"12. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_3,intramuscular_im_temperature_measure,"TIME 10 (mins) ",text,"13. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_3,intramuscular_im_temperature_measure,,text,"14. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_3,intramuscular_im_temperature_measure,,text,"15. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_3,intramuscular_im_temperature_measure,,text,"16.  Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_3,intramuscular_im_temperature_measure,,text,"17. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_3,intramuscular_im_temperature_measure,,text,"18. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_4,intramuscular_im_temperature_measure,"TIME 15 (mins)",text,"19. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_4,intramuscular_im_temperature_measure,,text,"20. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_4,intramuscular_im_temperature_measure,,text,"21. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_4,intramuscular_im_temperature_measure,,text,"22. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_4,intramuscular_im_temperature_measure,,text,"23. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_4,intramuscular_im_temperature_measure,,text,"24. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_5,intramuscular_im_temperature_measure,"TIME 20 (mins)",text,"25. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_5,intramuscular_im_temperature_measure,,text,"26. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_5,intramuscular_im_temperature_measure,,text,"27. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_5,intramuscular_im_temperature_measure,,text,"28. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_5,intramuscular_im_temperature_measure,,text,"29. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_5,intramuscular_im_temperature_measure,,text,"30. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_6,intramuscular_im_temperature_measure,"TIME 25 (mins)",text,"31. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_6,intramuscular_im_temperature_measure,,text,"32. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_6,intramuscular_im_temperature_measure,,text,"33. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_6,intramuscular_im_temperature_measure,,text,"34. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_6,intramuscular_im_temperature_measure,,text,"35. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_6,intramuscular_im_temperature_measure,,text,"36. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_7,intramuscular_im_temperature_measure,"TIME 30 (mins)",text,"37. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_7,intramuscular_im_temperature_measure,,text,"38. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_7,intramuscular_im_temperature_measure,,text,"39. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_7,intramuscular_im_temperature_measure,,text,"40. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_7,intramuscular_im_temperature_measure,,text,"41. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_7,intramuscular_im_temperature_measure,,text,"42. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_8,intramuscular_im_temperature_measure,"TIME 40 (mins)",text,"43. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_8,intramuscular_im_temperature_measure,,text,"44. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_8,intramuscular_im_temperature_measure,,text,"45. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_8,intramuscular_im_temperature_measure,,text,"46. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_8,intramuscular_im_temperature_measure,,text,"47. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_8,intramuscular_im_temperature_measure,,text,"48. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_9,intramuscular_im_temperature_measure,"TIME 50 (mins)",text,"49. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_9,intramuscular_im_temperature_measure,,text,"50. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_9,intramuscular_im_temperature_measure,,text,"51. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_9,intramuscular_im_temperature_measure,,text,"52. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_9,intramuscular_im_temperature_measure,,text,"53. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_9,intramuscular_im_temperature_measure,,text,"54. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_10,intramuscular_im_temperature_measure,"TIME 60 (mins)",text,"55. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_10,intramuscular_im_temperature_measure,,text,"56. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_10,intramuscular_im_temperature_measure,,text,"57. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_10,intramuscular_im_temperature_measure,,text,"58. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_10,intramuscular_im_temperature_measure,,text,"59. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_10,intramuscular_im_temperature_measure,,text,"60. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_11,intramuscular_im_temperature_measure,"TIME 70 (mins)",text,"61. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_11,intramuscular_im_temperature_measure,,text,"62. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_11,intramuscular_im_temperature_measure,,text,"63. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_11,intramuscular_im_temperature_measure,,text,"64. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_11,intramuscular_im_temperature_measure,,text,"65. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_11,intramuscular_im_temperature_measure,,text,"66. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_12,intramuscular_im_temperature_measure,"TIME 80 (mins)",text,"67. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_12,intramuscular_im_temperature_measure,,text,"68. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_12,intramuscular_im_temperature_measure,,text,"69. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_12,intramuscular_im_temperature_measure,,text,"70. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_12,intramuscular_im_temperature_measure,,text,"71. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_12,intramuscular_im_temperature_measure,,text,"72. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_13,intramuscular_im_temperature_measure,"TIME 90 (mins)",text,"73. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_13,intramuscular_im_temperature_measure,,text,"74. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_13,intramuscular_im_temperature_measure,,text,"75. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_13,intramuscular_im_temperature_measure,,text,"76. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_13,intramuscular_im_temperature_measure,,text,"77. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_13,intramuscular_im_temperature_measure,,text,"78. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_14,intramuscular_im_temperature_measure,"COOLDOWN TIME 100 (mins)",text,"79. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_14,intramuscular_im_temperature_measure,,text,"80. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_14,intramuscular_im_temperature_measure,,text,"81. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_14,intramuscular_im_temperature_measure,,text,"82. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_14,intramuscular_im_temperature_measure,,text,"83. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_14,intramuscular_im_temperature_measure,,text,"84. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_15,intramuscular_im_temperature_measure,"COOLDOWN TIME 110 (mins)",text,"85. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_15,intramuscular_im_temperature_measure,,text,"86. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_15,intramuscular_im_temperature_measure,,text,"87. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_15,intramuscular_im_temperature_measure,,text,"88. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_15,intramuscular_im_temperature_measure,,text,"89. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_15,intramuscular_im_temperature_measure,,text,"90. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_heat_pad_16,intramuscular_im_temperature_measure,"COOLDOWN TIME 120 (mins)",text,"91. Heating Pad Temperature (°C)",,,number,,,,,y,,,,,
im_temp_temperature_16,intramuscular_im_temperature_measure,,text,"92. IM Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_16,intramuscular_im_temperature_measure,,text,"93. IM Skin Temperature (°C)",,,number,,,,,y,,,,,
im_temp_skin_opposite_16,intramuscular_im_temperature_measure,,text,"94. Skin Temperature (°C)",,,number,,,,,y,,,,,
im_room_temp_16,intramuscular_im_temperature_measure,,text,"95. Room Temperature (°C)",,,number,,,,,y,,,,,
im_temp_forehead_16,intramuscular_im_temperature_measure,,text,"96. Forehead Temperature (°C)",,,number,,,,,y,,,,,
im_temp_peak,intramuscular_im_temperature_measure,"SUMMARY DATA",text,"97. Peak IM Temp (°C)",,,number,,,,,y,,,,,
im_temp_peak_skin_temp,intramuscular_im_temperature_measure,,text,"98. Peak Skin Temp (°C)",,,number,,,,,y,,,,,
im_temp_established,intramuscular_im_temperature_measure,,yesno,"99. Was Heat Pad Temperature Needed To Raise The Intramuscular (IM) Temperature To Approximately 40°C Established?",,,,,,,,y,,,,,
im_temp_setting,intramuscular_im_temperature_measure,,text,"100.  What Is The Determined Heat Pad Temperature Setting (°C) For Participant?
",,,number,,,,,y,,,,,"In Celsius "
